"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"THADA2",2.79680725228729e-18,0.384003387965198,0.991,0.615,5.48369997955969e-14,"4","THADA"
"SERPINF12",2.86405949727563e-18,0.528278448776515,0.347,0.158,5.61556145630832e-14,"4","SERPINF1"
"PSMD132",2.88735630245458e-18,0.395901504645602,0.634,0.357,5.66123950222269e-14,"4","PSMD13"
"PLEKHN11",2.9214863886019e-18,0.452009024208438,0.406,0.198,5.72815836213174e-14,"4","PLEKHN1"
"CFAP202",2.93492094461945e-18,0.459081430472813,0.702,0.392,5.75449949611536e-14,"4","CFAP20"
"RP4-816N1.82",2.9354249143284e-18,0.850822814353929,0.239,0.088,5.7554876295237e-14,"4","RP4-816N1.8"
"TMEM1301",2.96695180812187e-18,0.362328306482474,0.435,0.212,5.81730241018454e-14,"4","TMEM130"
"ZNF597",2.97858716745913e-18,0.425015740561973,0.378,0.177,5.84011585923711e-14,"4","ZNF597"
"PRSS31",2.9968866243444e-18,0.317439633556815,0.398,0.185,5.87599560435206e-14,"4","PRSS3"
"TDRKH2",3.1107154490818e-18,0.424562905053077,0.605,0.343,6.09917978101468e-14,"4","TDRKH"
"GHRL1",3.13309991268178e-18,0.605535768816654,0.384,0.182,6.14306899879516e-14,"4","GHRL"
"ESAM2",3.16151144663691e-18,0.356413701271112,0.554,0.304,6.19877549342099e-14,"4","ESAM"
"CD402",3.17082148034579e-18,0.325740790506966,0.571,0.309,6.21702967651398e-14,"4","CD40"
"ARL14EP2",3.17863191382485e-18,0.628353705931168,0.545,0.299,6.23234359343639e-14,"4","ARL14EP"
"MCUR12",3.17889214909363e-18,0.46623500444845,0.656,0.385,6.23285383672787e-14,"4","MCUR1"
"ATXN32",3.19394955791924e-18,0.255018824965076,0.776,0.453,6.26237689821226e-14,"4","ATXN3"
"ARHGDIA2",3.2297480074488e-18,0.34528594704141,0.523,0.277,6.33256691820486e-14,"4","ARHGDIA"
"FUT71",3.26199412795112e-18,1.01978527651033,0.372,0.181,6.39579188667375e-14,"4","FUT7"
"RPL26L12",3.29707940474331e-18,0.617555432981847,0.503,0.264,6.4645835888802e-14,"4","RPL26L1"
"RALY2",3.37749995772448e-18,0.250936359137943,0.938,0.586,6.62226416711038e-14,"4","RALY"
"TSPAN110",3.443037954559e-18,0.569908151667794,0.423,0.209,6.75076451750384e-14,"4","TSPAN1"
"WDR882",3.59019510189431e-18,0.504187965906373,0.435,0.217,7.03929553628418e-14,"4","WDR88"
"WHAMM2",3.63441584771587e-18,0.496086187869347,0.665,0.394,7.1259991526165e-14,"4","WHAMM"
"ARL162",3.66527862737723e-18,0.331895457453663,0.534,0.284,7.18651180469853e-14,"4","ARL16"
"BCL22",3.67785978949131e-18,0.383245249331323,1,0.673,7.21117968925562e-14,"4","BCL2"
"POLG22",3.6827607511567e-18,0.38775675176684,0.526,0.28,7.22078900479293e-14,"4","POLG2"
"MUC121",3.76751674421377e-18,0.462037286120962,0.528,0.281,7.38697008037994e-14,"4","MUC12"
"RDM11",3.78527577924219e-18,0.715164744375433,0.304,0.13,7.42179022036017e-14,"4","RDM1"
"CENPI2",3.82154461896558e-18,0.417966866655772,0.497,0.265,7.4929025344058e-14,"4","CENPI"
